ITword,ITcatlog,ITcertainty,defn
JAVA SERVLET,2,1,"A Java program that operates in conjunction with a Web server, and can output Hypertext Markup Language (HTML) to a browser or even communicate with Java applets. Servlets offer an alternative to using Common Gateway Interface (CGI) and server application programming interfaces (SAPIs) to communicate with Web server processes."
JAVASCRIPT,4,1,"A scripting language targeted specifically to the Internet. It is the first scripting language to fully conform to ECMAScript, the Webís only standard scripting language. Despite its name, JavaScript is not a derivative of Java; its origin is Netscapeís Livescript language. JavaScript is, in fact, closer to C/C++ in syntax than it is to Java."
JIT,4,0,An approach of sequencing the arrival of material to a work center just prior to consumption to avoid large work-in-process inventories.
JOB SCHEDULING,0,0,"Job scheduling tools supervise a logical process (several jobs or programs) as they execute in a mainframe or distributed environment, providing scheduling and dependency management of the process as it runs, mainly in sequence, across disparate systems, geographies and applications. The tools in this category are used for Çbatch integrationÇ of heterogeneous applications and data stores."
JUKEBOX,2,1,"An automatic media handler for an optical disk drive, also called a library. An optical jukebox is designed to move optical platters in and out of optical drives. The intent is to provide a large amount of easily accessed storage in a Çnear-lineÇ fashion. Jukeboxes use robotics. Similar in concept to music jukeboxes, the robot arm locates the appropriate disk and, if it is not already mounted in a drive, clears the drive and loads the selected disk."
JUST IN TIME,4,0,An approach of sequencing the arrival of material to a work center just prior to consumption to avoid large work-in-process inventories.
JUST-IN-TIME,0,0,(JIT) A method to optimize ordering quantities so that parts or raw materials arrive just when they are needed for production.
KA-BAND,2,1,"Frequency range allocated from 17.7GHz on the downlink and to 30.6GHz on the uplink for use by satellite communication systems. Ka-band satellites deliver high-speed broadband Internet connectivity and digital video/audio transmission. Satellites in this frequency range are characterized by two-way or bidirectional communications capability; wider-bandwidth transponders that provide higher overall capacity spot beams that can direct or focus signal transmissions to areas of higher density/population; and more-efficient use of available spectrum through multiple reuse of the same frequency. Ka-band satellites can be implemented as GEO- and non-GEO satellite systems. See also Kurtz-under band (Ku-band), L-band and S-band."
KAIZEN,0,0,"Incremental, continuous improvement."
KANBAN,0,0,"Kanban is a technique used in lean manufacturing (i.e., just-in-time) environments to reduce process cycle time by managing flow."
KCC,2,1,"The broadcasting, communications and IT regulator in the Republic of South Korea, which superseded the Ministry of Information and Communication (MIC) and the Korean Broadcasting Commission in 2008. See also KCC."
KERNEL,2,1,"The heart of an operating system, a kernel is the part of the operating system that interconnects with the hardware. With Open Systems Interconnection (OSI) software intended for use in Unix environments, the kernelís functional units are often included as a function library."
KEY,3,0,A sequence of data used in cryptography to encrypt or decrypt information.
KEY FIELD,3,1,"A field in a record that uniquely identifies instances of that record so that it can be retrieved, updated, or sorted."
KEY FOB,2,1,"A type of security token: a small hardware device with built-in authentication mechanisms. Just as the keys held on an ordinary real-world key chain or fob control access to the owner's home or car, the mechanisms in the key fob control access to network services and information. The key fob (and similar devices, such as smart cards) provide two-factor authentication: the user has a personal identification number (PIN), which authenticates them as the device's owner; after the user correctly enters their PIN, the device displays a number which allows them to log on to the network. Because a key fob is a physical object, it is easy for the owner to know if it has been stolen. In comparison, a password can be stolen (or guessed) and used for an extended period before -- if ever -- the theft is detected. Reference: searchSecurity.com"
KEY LOGGERS,2,1,"Technique used by hackers that tracks keystrokes either through hardware (an unseen thumb drive on a public computer) or software (i.e., a compromised website)."
KEY PERFORMANCE INDICATOR,0,0,"A key performance indicator (KPI)¨Üis a high-level measure of system output, traffic or other usage, simplified for gathering and review on a weekly, monthly or quarterly basis. Typical examples are bandwidth availability, transactions per second and calls per user. KPIs are often combined with cost measures (e.g., cost per transaction or cost per user) to build key system operating metrics."
KEY PERFORMANCE INDICATORS,0,0,Measures proposed by senior management for understanding how well the firm is performing along specified dimensions.
KM,0,0,"Knowledge management (KM) is a business process that formalizes the management and use of an enterpriseÇs intellectual assets. KM promotes a collaborative and integrative approach to the creation, capture, organization, access and use of information assets, including the tacit, uncaptured knowledge of people."
KNOWLEDGE,3,0,A body of governing procedures such as guidelines or rules that are used to organize or manipulate data to make the data suitable for a given task.
KNOWLEDGE BASE,0,0,"The knowledge, which may include assertion, rules, objects and constraints, used by a knowledge-based or expert system. Its organization is based on knowledge representations. The developer or user of the system may be unaware of the underlying knowledge representations, seeing only the domain knowledge representations."
KNOWLEDGE CAPITAL,0,0,"Intangible assets of an enterprise that are required to achieve business goals, including employeeÇs knowledge; data and information about processes, products, customers and competitors; and intellectual property such as patents or regulatory licenses."
KNOWLEDGE MANAGEMENT,0,0,"Knowledge management (KM) is a business process that formalizes the management and use of an enterpriseÇs intellectual assets. KM promotes a collaborative and integrative approach to the creation, capture, organization, access and use of information assets, including the tacit, uncaptured knowledge of people."
KNOWLEDGE SHARING,0,0,"An activity that spans three components of the knowledge management (KM) process Çknowledge capture, knowledge organization and knowledge access Çto enable people to share knowledge across the boundaries of geography and time."
KNOWLEDGE TRANSFER,0,0,"Transmitting knowledge from one person or group to another, and the absorption of that knowledge."
KNOWLEDGE WORKER,0,0,"A professional who is relatively well educated and who creates, modifies, and/or synthesizes knowledge as a fundamental part of his or her job."
KNOWLEDGE WORKERS,0,0,People such as engineers or architects who design products or services and create knowledge for the organization.
KPI,2,0,"A key performance indicator (KPI)¨Üis a high-level measure of system output, traffic or other usage, simplified for gathering and review on a weekly, monthly or quarterly basis. Typical examples are bandwidth availability, transactions per second and calls per user. KPIs are often combined with cost measures (e.g., cost per transaction or cost per user) to build key system operating metrics."
KU-BAND,2,1,"Frequency range allocated from 10.9GHz to 17GHz. Ku-band satellites are among the most numerous, operating for all forms of satellite communications, including video, voice and data services for consumers and enterprises. Most VSATs are in the Ku-band and are predominantly GEO-based systems. Ku-band satellite antennas (which are smaller than C-band antennas but suffer from rain fade in monsoon-like downpours) are typically used in Europe and North America. Bidirectional/interactive Ku-band antenna sizes range from 75 centimeters to 1.8 meters. See also Ka-band, L-band and S-band."
KURTZ-UNDER BAND,2,1,"Frequency range allocated from 10.9GHz to 17GHz. Ku-band satellites are among the most numerous, operating for all forms of satellite communications, including video, voice and data services for consumers and enterprises. Most VSATs are in the Ku-band and are predominantly GEO-based systems. Ku-band satellite antennas (which are smaller than C-band antennas but suffer from rain fade in monsoon-like downpours) are typically used in Europe and North America. Bidirectional/interactive Ku-band antenna sizes range from 75 centimeters to 1.8 meters. See also Ka-band, L-band and S-band."
L-BAND,2,1,"Portion of the electromagnetic spectrum allotted for satellite transmission in the 1GHz to 2GHz frequency range. A number of MSS providers operate part of their satellite networks in the L-band. See also Ka-band, Ku-band and S-band."
LABELING,3,0,"Proper labeling of all back-up media is critical to the timely restoration of data. There must be a correlation between the data, the media and the date the back-up was performed. The use of a back-up log would indicate the media set that contains the file(s) to be restored. The method used will be based primarily on the business objectives."
LABOR MANAGEMENT SYSTEM,4,0,"A labor management system provides labor productivity reporting and planning capabilities. The planning capabilities provide the ability to analyze workforce requirements given a certain amount of work to be performed and a standard unit of time to perform each element of work. Labor productivity planning capabilities provide the ability to measure and report the performance of individuals, groups or facilities vs. a predefined standard for performing each defined element of work."
LABORATORY INFORMATION MANAGEMENT SYSTEM,2,1,"A laboratory information management system (LIMS) is a solution to manage sample scientific test data and processes, from sample login to the reporting of results."
LAG,0,0,"A modification of a logical relationship that directs a delay in the successor activity. For example, in a finish-to-start dependency with a 10-day lag, the successor activity cannot start until ten days after the predecessor activity has finished. Reference: PMBOK"
LAN,2,1,A private computer network generally on a user's premises and operated within a limited geographical area.
LASER,2,1,"A device that emits a highly coherent beam of light. The term stands for Çlight amplification by stimulated emission of radiation.Ç A typical laser has an active medium, which emits light, and a cavity structure, which selects certain wavelengths and directions for the emitted light. Lasers convert electrical energy into radiant energy in the visible or infrared parts of the spectrum, emitting light with a small spectral bandwidth. For this reason, they are widely used in fiber-optic communications, particularly as sources for long-haul links."
LASER DISK,2,1,An storage medium that uses laser technology to record and retrieve data.
LATENCY,2,0,"Measure of the responsiveness of a network, often expressed as the round-trip time (in milliseconds); that is, the time between initiating a network request and receiving a response. High latency tends to have more impact than bandwidth on the end-user experience in interactive applications, such as Web browsing. Low latency is required for many next-generation IP applications, such as VoIP, video telephony and PTT. See also round-trip time (RTT)."
LAYER,2,0,"A transparent sheet that can be made visible or invisible and provides specific information or content. In a GIS, layers contain information about roads, utilities, ZIP code boundaries, floodplains, and so on."
LBA,0,1,"Location-based advertising (LBA) refers to advertisements that appear on a mobile device, including banner or text ads on a mobile Internet site or mobile application, including maps."
LBM,0,1,"Location-based marketing (LBM) addresses the user directly. Usually, the consumer receives a message on their mobile device containing a call to action (such as enter a competition, visit a website or order a product) and an incentive, such as a coupon."
LBS,2,0,"Services based on the location of a mobile user as determined by using network and/or mobile-device-based technology. Technologies supporting this include cell of origin (also known as cell ID), AOA, time of arrival (TOA), EOTD and GPS or assisted GPS. GPS can be used without network modification but requires mobile devices to support GPS. In WLAN systems, location can be determined by triangulation between several access points. Location data can be used for a variety of services to mobile-device users, including advertisements, billing, information, tracking and safety. See also e911 and GPS."
LCD,2,1,A computer-based patient record system from Siemens Medical Solutions Health Services. LCR provides a longitudinal view of patientsÇ lifetime clinical histories.
LCOS,2,1,Liquid crystal on silicon (LCoS) is a microdisplay technology in which liquid crystals are fabricated on a silicon device that contains control electronics. These devices compete with Digital Light Processing (DLP) technology in the projector and picoprojector markets. Viewfinders in camera products are another key application area.
LCR,2,1,"One way to build portable applications is to support only those functions that are provided on all of the target platforms. This ÇLCDÇ approach enables programs to run on numerous platforms, but does so at the expense of forgoing the use of unique, added-value features that may be offered on individual platforms."
LE,2,0,Bluetooth low energy (LE) is a specification adopted by the Bluetooth SIG in April 2009 that enables low-power peripherals with a battery life of months to years to communicate with Bluetooth in handsets or other devices. Bluetooth LE opens up a new range of devices and applications such as on-body medical sensors and sports and fitness equipment. LE arose from a technology called Wibree (owned by Nokia) and was previously called ultra low power (ULP) Bluetooth.
LEAD,0,0,"A modification of a logical relationship that allows an acceleration of the successor activity. For example, in a finish-to-start dependency with a ten-day lead, the successor activity can start ten days before the predecessor has finished. Reference: PMBOK"
LEADERSHIP,0,0,The way in which the project manager influences the project team to behave in a manner that will facilitate project goal achievement.
LEAN,0,0,A customer-value focused approach to the provision of effective solutions involving the consumption of a minimum of resources.
LEAN ENTERPRISE,1,0,The extended supply chain responsible for effectively satisfying consumer requirements using a minimum of resources.
LEARNING MANAGEMENT SYSTEM,4,0,"Tools for the management, delivery, tracking, and assessment of various types of employee learning."
LED,2,1,A semiconductor that produces light when activated.
LEGACY SYSTEM,4,1,Older standalone computer systems within an organization with older versions of applications that are either fast approaching or beyond the end of their useful life within the organization.
LEGACY SYSTEMS,4,1,Systems that have been in existence for a long time and that continue to be used to avoid the high cost of replacing or redesigning them.
LEGITIMACY,0,0,"The extent to which oneís authority is accepted on grounds of competence, vision, or other qualities."
LEO,2,0,Orbital plane located from several hundred to a few thousand miles about the earthÇs surface. LEO systems can be regional or global and require many more satellites than GEO-based systems to provide service. Big LEO systems provide mobile satellite phone services and consist of satellite constellations of some 48 to 66 satellites. See also GEO and middle earth orbit (MEO).
LESSONS LEARNED,0,0,"The learning gained from the process of performing the project. Lessons learned may be identified at any point. Also considered a project record, to be included in the lessons learned knowledge base. Reference: PMBOK"
LEVEL OF EFFORT,0,0,"Support-type activity (e.g., seller or customer liaison, project cost accounting, project management, etc.) that does not readily lend itself to measurement of discrete accomplishment. It is generally characterized by a uniform rate of work performance over a period of time determined by the activities supported. Reference: PMBOK"
LF,0,0,"In the critical path method, the latest possible point in time that a schedule activity may be completed based upon the schedule network logic, the project completion date, and any constraints assigned to the schedule activities without violating a schedule constraint or delaying the project completion date. The late finish dates are determined during the backward pass calculation of the project schedule network. Reference: PMBOK"
LIABILITY,0,0,"The existence of laws that permit individuals to recover the damages done to them by other actors, systems, or organizations."
LIBRARY,3,0,"A library is a data management system for documents frequently, though not necessarily, organized in a hierarchy of ÇfoldersÇ and Çdrawers.Ç Also called a Çfile cabinet.Ç"
LICENSE,1,0,A license is a†dedicated voice endpoint as a user or seat that is activated and in use with a unique logical address on an enterprise telephony voice system.
LIFE SPAN,2,1,Life span (lifetime) refers to the average life of a device within the defined segment.
LIFE-CYCLE COST,0,0,"The overall estimated cost for a particular object over the time corresponding to the life of the object, including direct and indirect initial costs plus any periodic or continuing costs for operation and maintenance. Reference: (GAO)"
LIGHT-EMITTING DIODE,2,1,A semiconductor that produces light when activated.
LIMS,2,0,"A laboratory information management system (LIMS) is a solution to manage sample scientific test data and processes, from sample login to the reporting of results."
LINE,2,0,"A line is: 1. A communications path between two or more points, including a satellite or microwave channel. 2. In data communications, a circuit connecting two or more devices. 3. A transmission path from a nonswitching subscriber terminal to a switching system."
LINE OF BUSINESS,0,0,A line of business is a corporate subdivision focused on a single product or family of products.
LINE OF CODE,4,1,Line of code is a unit used in measuring or estimating the scale of programming or code conversion efforts.
LINUX,2,1,"A UNIX-like operating system that was designed to provide personal computer users a free or very low-cost operating system comparable to traditional and usually more expensive¨Ü UNIX systems. Linux has a reputation as a very efficient and fast-performing system. Linux's kernel (the central part of the operating system) was developed by Linus Torvalds at the University of Helsinki in Finland. To complete the operating system, Torvalds and other team members made use of system components developed by members of the Free Software Foundation for the GNU Project. Linux is a remarkably complete operating system, including a graphical user interface, an X Window System, TCP/IP, the Emacs editor, and other components usually found in a comprehensive UNIX system. Although copyrights are held by various creators of Linux's components, Linux is distributed using the Free Software Foundation's copyleft stipulations that mean any modified version that is redistributed must in turn be freely available."
LIQUEFIED NATURAL GAS,2,0,"Liquefied natural gas (LNG) is natural gas that has been cooled to _259 degrees Fahrenheit. It occupies 0.17% of the volume of natural gas, making cost-effective overseas transport by large-capacity ships between LNG processing terminals or ports possible. LNG technologies are associated with key processes of liquefaction, transportation and regasification. These processes include operational technologies linked to process management, and information technologies allied with shipping, logistics and contract/trading."
LIQUID COOLING,2,0,"Liquid cooling uses a liquid, such as water, or a refrigerant, rather than air, to cool the data canter. This allows the cooling solution to be brought closer to the heat source, thus requiring less, if any, fan power. Liquid cooling can solve the high-density, server-cooling problem, because liquid (conductive cooling) conducts more than 3,000 times as much heat as air and requires less energy to do so, allowing increased data center densities. Newer piping technology means the probability of leaks is extremely low."
LIQUID CRYSTAL DISPLAY,2,1,"A low-powered, flat-panel display technology. LCD displays create images using liquid crystal molecules controlled by an electrical field."
LIQUID CRYSTAL ON SILICON,2,1,Liquid crystal on silicon (LCoS) is a microdisplay technology in which liquid crystals are fabricated on a silicon device that contains control electronics. These devices compete with Digital Light Processing (DLP) technology in the projector and picoprojector markets. Viewfinders in camera products are another key application area.
LITHIUM IRON PHOSPHATE,2,1,"Lithium Iron phosphate (LiFePO4) batteries are a type of lithium ion (Li-Ion) rechargeable battery. Their benefits over the more traditional cobalt-based Li-Ion batteries are increased power output, faster charging, reduced weight and longer lifetime. The batteries also have better safety characteristics and do not explode under extreme conditions. LiFePO4 batteries also eliminate the concerns of cobolt entering the environment through improper disposal once they have expired."
LMS,4,0,"Tools for the management, delivery, tracking, and assessment of various types of employee learning."
LNG,2,0,"Liquefied natural gas (LNG) is natural gas that has been cooled to _259 degrees Fahrenheit. It occupies 0.17% of the volume of natural gas, making cost-effective overseas transport by large-capacity ships between LNG processing terminals or ports possible. LNG technologies are associated with key processes of liquefaction, transportation and regasification. These processes include operational technologies linked to process management, and information technologies allied with shipping, logistics and contract/trading."
LOAD BALANCING,2,1,"Requests from clients are distributed across available servers to achieve better utilization of computing resources. In general, load balancing can be based on network traffic, CPU load, relative power of the server, size of the serverís request queue, a simple round robin method, or other mechanisms."
LOAD FORECASTING,4,0,"Load forecasting minimizes utility risk by predicting future consumption of commodities transmitted or delivered by the utility. Techniques include price elasticity, weather and demand response/load analysis, and renewable generation predictive modeling. Forecasts must use regional customer load data, with time series customer load profiles. Accurate forecasts require adjustments for seasonality. Distribution load forecasting must be reconciled with distribution network configuration as part of the distribution circuit load measurements."
LOCAL AREA NETWORK,2,1,A private computer network generally on a user's premises and operated within a limited geographical area.
LOCAL MULTIPOINT DISTRIBUTION SERVICE,2,1,"A local multipoint distribution service is a microwave-based wireless technology that operates at around 28GHz. It can be used for fixed high-speed data, Internet access and advanced telephone and entertainment services in metropolitan areas."
LOCAL NUMBER PORTABILITY,2,1,Local number portability is the ability to change to a different local phone service provider while retaining the same phone number.
LOCAL-AREA NETWORK,2,1,"A geographically limited communication network that connects users within a defined area. A LAN is generally contained within a building or small group of buildings and is managed and owned by a single enterprise. The shorter distances within a building or campus enable faster communications at a lower cost than wide-area networks (WANs). Although an increasing number of LANs use Internet standards and protocols, they are normally protected from the public Internet by firewalls. LANs are generally used to perform the following functions: Çƒ¢	Send output to printers attached to the network. Çƒ¢	Transfer data or software to or from other systems attached to the network. Çƒ¢	Send e-mail to other users on the network. Çƒ¢	Access wider-area networks, including the Internet, via a direct connection from the network, for external file transfer, e-mail, facsimile, group collaboration and videoconferencing."
LOCATION ANALYTICS,4,1,The combination of geospatial data with business intelligence and advanced analytics tools to enhance organizational decision making
LOCATION-BASED MARKETING,0,1,"Location-based marketing (LBM) addresses the user directly. Usually, the consumer receives a message on their mobile device containing a call to action (such as enter a competition, visit a website or order a product) and an incentive, such as a coupon."
LOCATION-BASED SERVICES,2,1,"Services based on the location of a mobile user as determined by using network and/or mobile-device-based technology. Technologies supporting this include cell of origin (also known as cell ID), AOA, time of arrival (TOA), EOTD and GPS or assisted GPS. GPS can be used without network modification but requires mobile devices to support GPS. In WLAN systems, location can be determined by triangulation between several access points. Location data can be used for a variety of services to mobile-device users, including advertisements, billing, information, tracking and safety. See also e911 and GPS."
LOE,0,0,"Support-type activity (e.g., seller or customer liaison, project cost accounting, project management, etc.) that does not readily lend itself to measurement of discrete accomplishment. It is generally characterized by a uniform rate of work performance over a period of time determined by the activities supported. Reference: PMBOK"
LOGISTICS,0,0,"The management of a complex set of tasks that encompasses the physical flow of materials and products from source to final destination. This can include processes such as inbound and outbound transport management, warehousing, fulfillment, value-added services and the management of international cross-border logistics Çfor example, import, export and customs."
LONG TAIL,0,0,The large parts of consumer demand that are outside the relatively small number of mainstream tastes.
LOW EARTH ORBIT,2,1,Orbital plane located from several hundred to a few thousand miles about the earthís surface. LEO systems can be regional or global and require many more satellites than GEO-based systems to provide service. Big LEO systems provide mobile satellite phone services and consist of satellite constellations of some 48 to 66 satellites. See also GEO and middle earth orbit (MEO).
LOW FREQUENCY,2,0,Low frequency generally indicates frequencies between 3 and 300 kilohertz (kHz).
LOWEST COMMON DENOMINATOR,4,1,A computer-based patient record system from Siemens Medical Solutions Health Services. LCR provides a longitudinal view of patientsí lifetime clinical histories.
LOYALTY MARKETING,0,0,"Loyalty marketing is a discipline used to promote a sustained relationship with a brand by illustrating achievable benefits ó such as convenience, cost and customization through long-term loyalty. Loyalty marketing often includes the management of loyalty cards, discount clubs or other programs that are designed to encourage and reward repeat purchases over time."
LS,0,0,"In the critical path method, the latest possible point in time that a schedule activity may begin based upon the schedule network logic, the project completion date, and any constraints assigned to the schedule activities without violating a schedule constraint or delaying the project completion date. The late start dates are determined during the backward pass calculation of the project schedule network. Reference: PMBOK"
LUMP SUM CONTRACTS,1,0,This category of contract involves a fixed total price for a well-defined product. Fixed price contracts may also include incentives for meeting or exceeding selected project objectives such as schedule targets. See Also: Fixed Price
LURKER,0,0,"A lurker is a user who does not participate in an online discussion (e.g., in a chat room), but merely observes the activity."
M-COMMERCE,0,1,Mobile commerce (m-commerce)¨Ürefers to the delivery of e-commerce capabilities directly to mobile service users by wireless technology.
MACHINE LEARNING,4,1,"Machine learning is a branch of artificial intelligence that uses statistical techniques or algorithms to enable a computer to become better at what it does. The computer identifies patterns in behavior or speech, for example, and it notes those differences to ÇlearnÇ more about a particular user or set of users. Machine learning discovers patterns and structures, finds unusual data points, predicts values and categories, and solves a variety of problems. It also allows companies to consume very large amounts of data from a variety of sources and make sense out of it."
MACHINE-TO-MACHINE,2,1,"Machine-to-machine (M2M) communications is used for automated data transmission and measurement between mechanical or electronic devices. The key components of an M2M system are: Field-deployed wireless devices with embedded sensors or RFID-Wireless communication networks with complementary wireline access includes, but is not limited to cellular communication, Wi-Fi, ZigBee, WiMAX, wireless LAN (WLAN), generic DSL (xDSL) and fiber to the x (FTTx)."
MADP,2,1,See the entry for†Multiexperience Development Platform (MXDP).
MAGIC QUADRANT,2,0,"Gartner Magic Quadrants offer visual snapshots, in-depth analyses and actionable advice that provide insight into a marketÇs direction, maturity and participants. Magic Quadrants compare vendors based on GartnerÇs standard criteria and methodology. Each report comes with a Magic Quadrant graphic that depicts a market using a two-dimensional matrix that evaluates vendors based on their Completeness of Vision and Ability to Execute.Learn more on how Gartner Magic Quadrants can help you."
MAGNETOMETER,2,1,"A digital compass, or magnetometer, is a sensor that measures the earthÇs magnetic field to determine the direction to the magnetic poles. The implementation of three-axis compasses or magnetometer sensors, combined with accelerometer sensors, is critical for mobile devices in order to provide tilt compensation when they are not held horizontally."
MAINFRAME,2,0,"A mainframe is a large-capacity computer system with processing power that is significantly superior to PCs or midrange computers. Traditionally, mainframes have been associated with centralized, rather than distributed, computing environments. Skilled technicians are required to program and maintain mainframes, although client/server technology has made mainframes easier to operate from the userÇs and programmerÇs perspectives. They are generally used by large organizations to handle data processing for enterprisewide administrative tasks like payroll or accounts payable."
API MANAGEMENT,4,1,"API management is the set of people, processes and technology that enables an organization to safely and securely publish APIs, either internally or externally. Common components include an API gateway, developer portal, and administrative UI with reporting and analytics capabilities. Some API management solutions include monetization capabilities."
MAINTENANCE,4,0,"Changes in hardware, software, documentation, or procedures to a production system to correct errors, meet new requirements, or improve processing efficiency."
MALICIOUS CODE,2,1,"Harmful code (such as viruses and worms) introduced into a program or file for the purpose of contaminating, damaging, or destroying information systems and/or data. Malicious code includes viruses, Trojan horses, trap doors, worms, spy-ware, and counterfeit computer instructions (executables). See Also: Malicious Software"
MALICIOUS SOFTWARE,4,1,"Malicious software, commonly known as malware, is any¨Üsoftware¨Üthat brings harm to a computer system. Malware can be in the form of worms, viruses, trojans, spyware, adware and rootkits, etc., which steal protected data, delete documents or add¨Üsoftware¨Ünot approved by a user. Reference: https://www.techopedia.com/definition/4015/malicious-software-malware See Also: Malicious Code"
MALWARE,2,1,"Malware is malicious software specifically designed to cause damage and disruption to computer systems and devices. To combat the many potential malware threats - viruses, worms, Trojan horses, ransomware, spyware, adware, bots - security and risk management professionals deploy a variety of strategies and techniques, including antivirus software, firewalls and security gateways."
MAN,2,0,A network that interconnects users with computer resources in a geographic area or region larger than that covered by even a large local area network (LAN) but smaller than the area covered by a wide area network (WAN). The term is applied to the interconnection of networks in a city into a single larger network (which may then also offer efficient connection to a wide area network). It is also used to mean the interconnection of several local area networks by bridging them with backbone lines. The latter usage is also sometimes referred to as a campus network. Reference: (SearchNetworking)
MANAGED FILE TRANSFER,2,1,"Managed file transfer (MFT) is a technology that provides the secure transfer of data in an efficient and a reliable manner. Unlike traditional file transfer tools, such as FTP and scripting, MFT core functionalities include the ability to secure files in transit and at rest, and reporting and auditing of file activity. What also differentiates MFT from other forms of infrastructure and integration technologies is its unique focus on managing the transfer of large file sizes and volume."
MANAGED NETWORK SERVICES,2,1,"Managed network services (MNSs) refer to¨Üa vendorÇs delivery of primarily operational support for a new environment in which the hardware assets, financial obligations and personnel still remain on the books of the customer."
MANAGED PRINT SERVICES,2,1,"Managed print services (MPS) are services offered by an external provider to optimize or manage a companyís document output. The main components provided are needs assessment, selective or general replacement of hardware, and the service, parts and supplies needed to operate the new and/or existing hardware (including existing third-party equipment if this is required by the customer). The provider also tracks how the printer, fax, copier and MFP fleet is being used, the problems, and the userís satisfaction."
MANAGED SECURITY SERVICE PROVIDERS,1,1,Company that provides security management services for subscribing clients.
MANAGED SERVICE PROVIDER,1,1,"A managed service provider (MSP) delivers services, such as network, application, infrastructure and security, via ongoing and regular support and active administration on customersÇ premises, in their MSPÇs data center (hosting), or in a third-party data center.  MSPs may deliver their own native services in conjunction with other providersÇ services (for example, a security MSP providing sys admin on top of a third-party cloud IaaS). Pure-play MSPs focus on one vendor or technology, usually their own core offerings. Many MSPs include services from other types of providers. The term MSP traditionally was applied to infrastructure or device-centric types of services but has expanded to include any continuous, regular management, maintenance and support."
MANAGEMENT CONSULTING,0,0,"Management consulting is strategic consulting focused on high-level corporate or business unit strategy (e.g., deciding what businesses to participate in or whether to make an acquisition), or on operational improvement (e.g., improving customer service or determining the most effective type of retail delivery system)."
MANAGEMENT CONTROL,0,0,A set of mechanisms designed to manage organizations to achieve desired objectives.
MANAGEMENT INFORMATION SYSTEM,2,1,(MIS) An information system designed to support the management of organizational functions at the managerial level of the organization.
MANAGEMENT INFORMATION SYSTEMS,2,1,Specific category of information system providing reports on organizational performance to help middle management monitor and control the business.
MANAGEMENT SERVICES ORGANIZATION,1,0,A service organization of an integrated delivery system or hospital that provides management services for multiple affiliated physician practices and clinics.
MANAGERIAL LEVEL,0,0,"The middle level of the organization, where functional managers focus on monitoring and controlling operational-level activities and providing information to higher levels of the organization."
MANAGERIAL ROLES,0,0,Expectations of the activities that managers should perform in an organization.
MANUFACTURER,1,0,"A manufacturer is a producer of branded or unbranded finished products. A manufacturer could be a contract manufacturer, OEM or both."
MANUFACTURING EXECUTION SYSTEM,4,1,"A MES collects information about and controls complex manufacturing equipment and processes. It links the process control systems that directly control manufacturing equipment (and that capture data such as inventory levels and downtime) with business systems, such as enterprise resource planning (ERP), that track data such as orders, customer interactions and prices."
MANUFACTURING PLANNING,0,0,Manufacturing planning refers to¨Üthe weekly or daily production and machine schedules across multiple plants or lines to meet orders and forecast demand. Some manufacturing planning modules also incorporate materials planning.
MANUFACTURING SCHEDULING,4,0,"Manufacturing scheduling is a generation of plant-level execution schedules by product and resource (e.g., line and machine) and resolution of day-to-day capacity bottlenecks. Scheduling applications normally include a more granular level of resource information, and will provide such functionality as sequence dependent setup, tank scheduling and point-of-use material availability."
MARKETING ANALYTICS,4,0,"Marketing analytics puts data gathered from across marketing channels into context and shows how a companyÇs marketing plans and efforts can directly translate into revenue. CMOs and marketers use these technologies and processes to successfully evaluate and value their marketing campaign efforts. Marketing analytics techniques look at metrics from all sources and channels, and combine it into a single view to summarize the performance of marketing initiatives."
MARKETING AUTOMATION,4,1,"Marketing automation is software designed to automate marketing planning, management, coordination and measurement of success. Technologically savvy marketing departments are automating repetitive tasks such as social media, emails and other website actions. Marketing automation technology makes tasks like these easier."
MARKETING AUTOMATION PLATFORM,2,1,"Marketing automation platforms support lead management, scoring and nurturing activities across multiple marketing channels. The main goal of these systems is to convert contacts into scored, nurtured leads for sales teams to close. They assist with data cleansing by eliminating incomplete or redundant lead information, and with lead augmentation by providing additional information about prospects. Lead process management and multichannel orchestration and execution are the primary functions of marketing automation in a B2B or business-to-business-to-consumer (B2B2C) context."
MARKETING CONTENT MANAGEMENT,4,1,Marketing content management (MCM)†is a category of applications that help enterprises respond rapidly to unfolding business circumstances by applying the optimal combination of marketing content across multiple channels. MCM databases provide enterprises with an overview of all available marketing content.
MARKETING SERVICE PROVIDERS,1,0,"Marketing service providers (MSPs) supply professional services, system integration, creative services, third-party data, and application service provider (ASP) and hosted solutions for marketing organizations. MSPsÇ competencies include customer data integration (CDI), data quality and deduping, database marketing, prospecting, campaign management, marketing resource management (MRM), customer analytics, e-marketing and advertising. Competencies range from technology hosting to full business process outsourcing."
MARKETING TECHNOLOGY,4,1,"Marketing technology, or martech, is the area of customer relationship management (CRM) that focuses on the digital tools that help organizations manage marketing operations, processes and activities. Martech can help achieve multiple objectives, including finding and nurturing customers, personalizing customer interactions and measuring campaign effectiveness."
MASHUP,1,1,A mashup is an assembly of existing software and data services into new Web-based solutions.
MASHUPS,2,1,"Mashups are lightweight composite applications that source all of their content from existing systems and data sources; they have no native data store or content repository. To access the resources that they leverage, mashups employ the technologies of the Web, including representational state transfer (REST) APIs, RSS and ATOM feeds and widgets."
